Genus,Species,Center Lat,Center Long
Halichoeres,nicholsi,-2.25,-81.25
Halichoeres,nicholsi,-2.25,-80.75
Halichoeres,nicholsi,-1.75,-80.75
Halichoeres,nicholsi,-1.25,-91.25
Halichoeres,nicholsi,-1.25,-90.75
Halichoeres,nicholsi,-1.25,-90.25
Halichoeres,nicholsi,-1.25,-89.75
Halichoeres,nicholsi,-1.25,-81.25
Halichoeres,nicholsi,-1.25,-80.75
Halichoeres,nicholsi,-0.75,-91.25
Halichoeres,nicholsi,-0.75,-90.75
Halichoeres,nicholsi,-0.75,-90.25
Halichoeres,nicholsi,-0.75,-89.75
Halichoeres,nicholsi,-0.75,-89.25
Halichoeres,nicholsi,-0.75,-80.75
Halichoeres,nicholsi,-0.25,-91.75
Halichoeres,nicholsi,-0.25,-91.25
Halichoeres,nicholsi,-0.25,-90.75
Halichoeres,nicholsi,-0.25,-90.25
Halichoeres,nicholsi,0.25,-91.25
Halichoeres,nicholsi,0.25,-90.75
Halichoeres,nicholsi,0.25,-90.25
Halichoeres,nicholsi,0.25,-89.75
Halichoeres,nicholsi,0.75,-90.75
Halichoeres,nicholsi,1.25,-91.75
Halichoeres,nicholsi,1.75,-91.75
Halichoeres,nicholsi,2.75,-78.25
Halichoeres,nicholsi,3.75,-81.75
Halichoeres,nicholsi,5.75,-87.25
Halichoeres,nicholsi,6.25,-77.25
Halichoeres,nicholsi,7.25,-81.75
Halichoeres,nicholsi,7.25,-80.75
Halichoeres,nicholsi,7.25,-80.25
Halichoeres,nicholsi,7.75,-82.25
Halichoeres,nicholsi,7.75,-81.75
Halichoeres,nicholsi,8.25,-83.25
Halichoeres,nicholsi,8.25,-82.25
Halichoeres,nicholsi,8.25,-80.25
Halichoeres,nicholsi,8.25,-79.25
Halichoeres,nicholsi,8.25,-78.75
Halichoeres,nicholsi,8.75,-83.75
Halichoeres,nicholsi,8.75,-83.25
Halichoeres,nicholsi,8.75,-79.75
Halichoeres,nicholsi,8.75,-79.25
Halichoeres,nicholsi,9.25,-84.25
Halichoeres,nicholsi,9.75,-85.75
Halichoeres,nicholsi,9.75,-85.25
Halichoeres,nicholsi,9.75,-84.75
Halichoeres,nicholsi,9.75,-84.25
Halichoeres,nicholsi,10.25,-85.75
Halichoeres,nicholsi,10.75,-86.75
Halichoeres,nicholsi,10.75,-85.75
Halichoeres,nicholsi,11.25,-86.25
Halichoeres,nicholsi,11.25,-85.75
Halichoeres,nicholsi,11.75,-86.75
Halichoeres,nicholsi,13.25,-89.25
Halichoeres,nicholsi,13.25,-87.75
